,deer,wildboar,rabbit,rat,fox,badger,unknow
ER002H,0.083333333,0.166666667,0,0,0,0,0
ER007H,0.25,0.083333333,0.166666667,0,0,0,0
ER028H,1.416666667,0,0,0,0,0,0
ER033H,0.916666667,0,0,0,0,0,0
ER036H,7.833333333,0.25,0.083333333,0,0,0.833333333,0
ER037H,0,0.916666667,0,0,0,0,0
ER044H,0.25,2.083333333,0,0,0,0,0
ER045H,0.75,0,0,0,0,0,0.1
ER047H,0.333333333,1.166666667,0,0,0,0,0
ER050H,0.166666667,0.666666667,0,0,0,0,0
ER052X,0.75,1.5,0.416666667,0,0,0,0
ER053H,0.75,0,0,0,0,0,0
ER061H,0,0,0,0,0,0.083333333,0
ER067H,3.666666667,0,0,0,0.333333333,1.083333333,0
ER070H,2.25,0,2.166666667,0,0.666666667,0,0
ER071M-H,3.75,0,0,0,0,0,0
ER072H,3.166666667,0,0,0,0,0,0
ER073H,9.916666667,0,0,0,0,0,0
ER074M-H,7.833333333,0,0,0,0,0,0
ER079H,0,0,0,0,0,1.083333333,0
ER080H,3.166666667,0.583333333,2.833333333,2.416666667,0,2,0
ER085H,3,0,0,0,0,0,0
ER086H,3,0,0,0,0,0,0
ER090H,0.083333333,0,0,0,0,0,0